#Wavelength (Angstroms)	fnu ergs/s/cm^2/Hz
#redshifted
4015.5	3.95319179494469e-28
4017	3.97191795401872e-28
4018.5	3.99082184783283e-28
4020	4.0098826265688e-28
4021.5	4.02907084601709e-28
4023	4.04835680731101e-28
4024.5	4.067715473509e-28
4026	4.08712826286868e-28
4027.5	4.10658273896347e-28
4029	4.12607129611746e-28
4030.5	4.14558965037293e-28
4032	4.16513556892201e-28
4033.5	4.18470797291495e-28
4035	4.20430638027952e-28
4036.5	4.2001840183687e-28
4038	4.19605208889761e-28
4039.5	4.19191055469775e-28
4041	4.18775939885532e-28
4042.5	4.18359861177595e-28
4044	4.17942818634329e-28
4045.5	4.17524811622797e-28
4047	4.17105839533528e-28
4048.5	4.16685901763629e-28
4050	4.1626499771194e-28
4051.5	4.15843126777731e-28
4053	4.15420288360371e-28
4054.5	4.14996481859252e-28
4056	4.14571706673771e-28
4057.5	4.14145962203325e-28
4059	4.13719247847313e-28
4060.5	4.1329156300513e-28
4062	4.12862907076177e-28
4063.5	4.12433279459849e-28
4065	4.12002679555545e-28
4066.5	4.10623467911586e-28
4068	4.09241884307582e-28
4069.5	4.078579273693e-28
4071	4.06471595722501e-28
4072.5	4.05082887992951e-28
4074	4.03691802806415e-28
4075.5	4.02298338788657e-28
4077	4.00902494565442e-28
4078.5	3.99504268762533e-28
4080	3.98103660005696e-28
4081.5	3.96700666920695e-28
4083	3.95295288133295e-28
4084.5	3.9388752226926e-28
4086	3.92477367954355e-28
4087.5	3.91064823814344e-28
4089	3.89649888474991e-28
4090.5	3.88232560562062e-28
4092	3.86812838701321e-28
4093.5	3.85390721518532e-28
4095	3.83966207639459e-28
4096.5	3.8424629840514e-28
4098	3.8452649037087e-28
4099.5	3.84806783535638e-28
4101	3.85087177898436e-28
4102.5	3.85367673458253e-28
4104	3.85648270214081e-28
4105.5	3.8592896816491e-28
4107	3.86209767309731e-28
4108.5	3.86490667647534e-28
4110	3.8677166917731e-28
4111.5	3.8705277189805e-28
4113	3.87333975808745e-28
4114.5	3.87615280908385e-28
4116	3.8789668719596e-28
4117.5	3.88178194670462e-28
4119	3.8845980333088e-28
4120.5	3.88741513176207e-28
4122	3.89023324205431e-28
4123.5	3.89305236417546e-28
4125	3.89587249811539e-28
4126.5	3.89602268485098e-28
4128	3.89616999906027e-28
4129.5	3.89631443861558e-28
4131	3.89645600138926e-28
4132.5	3.89659468525364e-28
4134	3.89673048808106e-28
4135.5	3.89686340774386e-28
4137	3.89699344211438e-28
4138.5	3.89712058906497e-28
4140	3.89724484646795e-28
4141.5	3.89736621219567e-28
4143	3.89748468412046e-28
4144.5	3.89760026011467e-28
4146	3.89771293805064e-28
4147.5	3.89782271580069e-28
4149	3.89792959123718e-28
4150.5	3.89803356223244e-28
4152	3.8981346266588e-28
4153.5	3.89823278238862e-28
4155	3.89832802729422e-28
4156.5	3.85711939994231e-28
4158	3.81584822790183e-28
4159.5	3.77451447677218e-28
4161	3.73311811215278e-28
4162.5	3.69165909964305e-28
